Beat Name,Story %,intimacy,trust,desire,vulnerability,goal_alignment,power_differential,info_asymmetry,stakes,proximity,Notes
Meet Cute,5,0,3,2,1,2,0,4,4,2,First encounter - initial chemistry but strangers
Forced Proximity,10,1,3,4,1,3,0,4,5,8,Circumstances force them together
First Real Conversation,15,2,4,5,2,4,0,3,5,7,Opening up slightly - discovering common ground
Growing Attraction,25,4,4,6,3,5,0,3,6,7,Spending more time together - attraction building
First Kiss,35,5,5,7,5,6,0,2,6,10,Major romantic milestone - vulnerability increases
Deepening Bond,45,6,6,8,6,7,0,2,6,8,Falling in love - trust building
False Victory,55,7,7,8,7,8,0,1,5,8,Everything seems perfect - temporary happiness
Secret Revealed,65,6,4,8,7,4,-1,7,8,6,Information asymmetry creates conflict - trust damaged
Black Moment,75,4,1,8,8,2,0,1,9,4,Lowest point - relationship seems over but desire remains
Separation,80,3,2,8,3,2,0,1,9,1,Physical and emotional distance - pain of separation
Grand Gesture,85,5,4,9,9,5,0,1,9,6,Vulnerability at maximum - risking everything
Reconciliation,90,7,6,9,9,7,0,0,8,9,Honest conversation - rebuilding trust
Commitment,95,8,8,9,8,9,0,0,6,9,Deciding on future together - goals fully aligned
HEA - Happily Ever After,100,9,9,9,8,10,0,0,3,10,Resolution - all dimensions at healthy high levels
